layer_height,wall_thickness,infill_density,nozzle_temperature,bed_temperature,print_speed,fan_speed,roughness,tension_strenght,elongation,infill_pattern_grid,infill_pattern_honeycomb,material_abs,material_pla
0.0,0.7777777777777777,1.0,0.4000000000000003,0.0,0.0,0.0,0.0115273775216138,0.4242424242424242,0.2758620689655172,1.0,0.0,1.0,0.0
0.0,0.6666666666666665,1.0,0.5,0.25,0.0,0.25,0.031700288184438,0.3636363636363636,0.3448275862068966,0.0,1.0,1.0,0.0
0.0,0.0,0.875,0.6000000000000005,0.5,0.0,0.5,0.0547550432276657,0.1212121212121212,0.1379310344827586,1.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.7999999999999998,0.75,0.0,0.75,0.1354466858789625,0.1818181818181818,0.0344827586206896,0.0,1.0,1.0,0.0
0.0,0.5555555555555556,1.0,1.0,1.0,0.0,1.0,0.2046109510086455,0.0303030303030303,0.1034482758620689,1.0,0.0,1.0,0.0
0.0,1.0,0.375,0.0,0.0,0.0,0.0,0.1123919308357348,0.6060606060606061,0.2413793103448276,0.0,1.0,0.0,1.0
0.0,0.4444444444444445,0.0,0.0999999999999996,0.25,0.0,0.25,0.0979827089337175,0.2424242424242424,0.3103448275862069,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.2000000000000001,0.5,0.0,0.5,0.0,0.303030303030303,0.3793103448275862,0.0,1.0,0.0,1.0
0.0,0.8888888888888888,0.75,0.2999999999999998,0.75,0.0,0.75,0.0086455331412103,0.696969696969697,0.3448275862068966,1.0,0.0,0.0,1.0
0.0,0.7777777777777777,0.375,0.4000000000000003,1.0,0.0,1.0,0.0259365994236311,0.6363636363636364,0.4482758620689655,0.0,1.0,0.0,1.0
0.2222222222222221,0.5555555555555556,0.875,0.4000000000000003,0.0,0.25,0.0,0.1556195965417867,1.0,0.689655172413793,1.0,0.0,1.0,0.0
0.2222222222222221,0.1111111111111111,0.125,0.5,0.25,0.25,0.25,0.2046109510086455,0.2424242424242424,0.3448275862068966,0.0,1.0,1.0,0.0
0.2222222222222221,1.0,0.5,0.6000000000000005,0.5,0.25,0.5,0.2795389048991354,0.3636363636363636,0.3103448275862069,1.0,0.0,1.0,0.0
0.2222222222222221,0.5555555555555556,0.0,0.7999999999999998,0.75,0.25,0.75,0.5158501440922191,0.1515151515151515,0.1379310344827586,0.0,1.0,1.0,0.0
0.2222222222222221,0.2222222222222222,0.5,1.0,1.0,0.25,1.0,0.5734870317002881,0.1818181818181818,0.2068965517241379,1.0,0.0,1.0,0.0
0.2222222222222221,1.0,1.0,0.0,0.0,0.25,0.0,0.3025936599423631,0.696969696969697,0.6206896551724138,0.0,1.0,0.0,1.0
0.2222222222222221,0.2222222222222222,0.375,0.0999999999999996,0.25,0.25,0.25,0.3573487031700287,0.5757575757575758,0.5172413793103448,1.0,0.0,0.0,1.0
0.2222222222222221,0.7777777777777777,0.25,0.2000000000000001,0.5,0.25,0.5,0.1930835734870317,0.6666666666666666,0.4137931034482759,0.0,1.0,0.0,1.0
0.2222222222222221,0.4444444444444445,0.875,0.2999999999999998,0.75,0.25,0.75,0.2046109510086455,0.8787878787878788,0.5862068965517242,1.0,0.0,0.0,1.0
0.2222222222222221,1.0,0.5,0.4000000000000003,1.0,0.25,1.0,0.1527377521613833,0.7575757575757576,0.5517241379310345,0.0,1.0,0.0,1.0
0.4444444444444443,0.0,0.375,0.4000000000000003,0.0,1.0,0.0,0.2853025936599423,0.3636363636363636,0.2758620689655172,1.0,0.0,1.0,0.0
0.4444444444444443,0.1111111111111111,0.25,0.5,0.25,1.0,0.25,0.3544668587896253,0.2424242424242424,0.2413793103448276,0.0,1.0,1.0,0.0
0.4444444444444443,0.0,0.5,0.6000000000000005,0.5,1.0,0.5,0.7031700288184438,0.1818181818181818,0.1724137931034482,1.0,0.0,1.0,0.0
0.4444444444444443,0.8888888888888888,0.875,0.7999999999999998,0.75,1.0,0.75,0.8386167146974063,0.4545454545454546,0.1379310344827586,0.0,1.0,1.0,0.0
0.4444444444444443,0.1111111111111111,0.625,1.0,1.0,1.0,1.0,1.0,0.1212121212121212,0.0,1.0,0.0,1.0,0.0
0.4444444444444443,0.0,0.5,0.0,0.0,1.0,0.0,0.4582132564841498,0.2121212121212121,0.4137931034482759,0.0,1.0,0.0,1.0
0.4444444444444443,0.3333333333333333,0.375,0.0999999999999996,0.25,1.0,0.25,0.446685878962536,0.2424242424242424,0.2758620689655172,1.0,0.0,0.0,1.0
0.4444444444444443,0.2222222222222222,0.5,0.2000000000000001,0.5,1.0,0.5,0.30835734870317,0.4242424242424242,0.4827586206896551,0.0,1.0,0.0,1.0
0.4444444444444443,0.3333333333333333,1.0,0.2999999999999998,0.75,1.0,0.75,0.3371757925072046,0.9090909090909092,0.8620689655172413,1.0,0.0,0.0,1.0
0.4444444444444443,0.0,0.25,0.4000000000000003,1.0,1.0,1.0,0.2881844380403457,0.303030303030303,0.3793103448275862,0.0,1.0,0.0,1.0
0.7222222222222221,0.3333333333333333,0.5,0.4000000000000003,0.0,0.25,0.0,0.4236311239193083,0.696969696969697,0.689655172413793,1.0,0.0,1.0,0.0
0.7222222222222221,0.6666666666666665,0.0,0.5,0.25,0.25,0.25,0.3832853025936599,0.4545454545454546,0.4827586206896551,0.0,1.0,1.0,0.0
0.7222222222222221,0.5555555555555556,0.5,0.6000000000000005,0.5,0.25,0.5,0.5878962536023055,0.4242424242424242,0.3448275862068966,1.0,0.0,1.0,0.0
